model_number,description
086,"Border Fine Arts 'Partridge' (style three), model No. 086"
087,"Border Fine Arts 'Red Grouse' (style one), model No. 087 by James Harvey "
0888A,"Border Fine Arts 'the Champion Shire', model No. 0888A by Anne Wall, limited edition */500"
090,"Border Fine Arts 'Little Owl' style two, model No. 090 "
093,"Border Fine Arts 'Song Thrush', model No. 093"
108A,"Border Fine Arts 'Reaching for the High Bird' (First Edition -Labradors), model No. 108A by Ray Ayres"
108C,"Border Fine Arts 'Reaching for the High Bird' (first version), model No. 108C by Ray Ayres"
114A,"Border Fine Arts 'Dogging'em up'(second Version - Labrador), Model No. 114a By Ray Ayres"
114B,"Border Fine Arts 'Dogging'Em Up' (Second Version - Labradors), model No. 114B by Ray Ayres"
126B,"Border Fine Arts 'Shire Gelding', model No. 126B by Anne Wall"
127B,"Border Fine Arts 'Welsh Mountain Pony' (style two), model No. 127B by Anne Wall"
128A,"Border Fine Arts 'Hackney', model No.128A by Anne Wall "
129B,"Border Fine Arts 'Welsh Cob', model No. 129B by Anne Wall"
129C,"Border Fine Arts 'Welsh Cob', model No. 129C"
160A,"Border Fine Arts 'Friesian Cow and Calf' (style two), model No. 160A "
160B,"Border Fine Arts 'Ayrshire Cow and Calf', model No. 160B by J A Butler"
200-147,"Border Fine Arts 'Canada Goose', model No. 200-147 by Frank Falco, limited edition */950"
200-402,"Border Fine Arts 'White-tailed Deer' (American Collection), model No. 200-402 by Daniel Parker, limited edition */1450"
200-404,"Border Fine Arts 'Big Horn Sheep', model No. 200-404 by Anne Wall, limited edition */850"
207B,"Border Fine Arts 'Springer Spaniel and Pup', model No. 207B by Anne Butler"
31394A,"Border Fine Arts 'Learning the Trade', model No. 31394A, limited edition */500"
A0002,"Border Fine Arts 'the Rambler', model No. A0002 by Ray Ayres"
A0007,Border Fine Arts 'Heron' model No. A0007 
A0186,"Border Fine Arts 'Arab Mare and Foal', model No. A0186 by Anne Wall"
A0190,"Border Fine Arts 'Graceful Swans', model No. A0190 by Russell Willis"
A0400,"Border Fine Arts 'Rocky Den' (fox family), model No. A0400 "
A0451,"Border Fine Arts 'Strawberry Patch', model No. A0451 "
A0452,"Border Fine Arts 'Turkeys', model No. A0452 by Anne Wall"
A0454,"Border Fine Arts 'Mummy's Boys' (sheep and two lambs), model No. A0454 by Ray Ayres"
A0477,"Border Fine Arts 'Mallard' (Style Two), model No. A0477 by Don Briddell"
A0478,"Border Fine Arts 'Pintail', model No. A0478 by Don Briddell"
A0602,"Border Fine Arts 'Found Safe' (Border collie and lambs), model No. A0602 by Kirsty Armstrong"
A0657,"Border Fine Arts 'Peregrine', model No. A0657 "
A0660,"Border Fine Arts 'Partridge' (Style Four), model No. A0660 by Russell Willis"
A0728,"Border Fine Arts 'Welsh Cob Mare and Foal', model No. A0728"
A0732,"Border Fine Arts 'Thoroughbred Mare and Foal', a0147"
A0734,"Border Fine Arts 'Blackfaced Ram' (style one), model No. A0734 by Lesley McKenzie"
A0735,Border Fine Arts 'Suffolk Ram' (style two) model No. A0735
A0738,"Border Fine Arts 'Charolais Bull', model No. A0738"
A0739,"Border Fine Arts 'Limousin Bull', model No. A0739"
A0740,"Border Fine Arts 'Aberdeen Angus Bull' (Style Two), model No. A0740 by Lesley Mckenzie"
A0905,"Border Fine Arts 'Mischief', model No. A0905 by Ray Ayres "
A0907,"Border Fine Arts 'Ewedini', model No. A0907 by Craig Harding"
A1015,"Border Fine Arts 'Hog Heaven', model No. A1015"
A1017,"Border Fine Arts 'Bolted', model No. A1017 "
A1231,"Border Fine Arts 'Startled', model No. A1231, limited edition */500"
A1244,"Border Fine Arts 'Blackfaced Ewe and Lambs' (style three), model No. A1244 by Lesley McKenzie"
A1245,"Border Fine Arts 'Suffolk Ewe and Lambs' (style two), model No. A1245 by Lesley McKenzie"
A1246,"Border Fine Arts 'Texel Ewe and Lambs', model No. A1246"
A1247,"Border Fine Arts 'Blue Faced Leicester Ewe and Lambs' (style three), model No. A1247 by Lesley McKenzie"
A1251,"Border Fine Arts 'Aberdeen Angus Cow and Calf', model No. A1251"
A1253,"Border Fine Arts 'Simmental Cow and Calf', model No. A1253"
A1276,"Border Fine Arts 'Flying Peregrine', model No. A1276"
A1277,"Border Fine Arts 'Flying Eagle', model No. A1277, by Russell Willis "
A1278,"Border Fine Arts 'Blackcock', model No. A1278 by John Brown"
A1283,"Border Fine Arts 'Discovery' (Badger and Fox Cubs), model No. A1283"
A1451,"Border Fine Arts 'One for Me, One for You', model No. A1451"
A1453,"Border Fine Arts 'Tlc', model No. A1453"
A1466,"Border Fine Arts 'Holstein Friesian Cow and New Calf', model No. A1466"
A1467,"Border Fine Arts 'Ayrshire Cow and New Calf', model No. A1467"
A1480,"Border Fine Arts 'King of the River' (Salmon), model No. A1480 by John Brown, limited edition */950"
A1485,"Border Fine Arts 'Red Stag' (style three), model No. A1485 by John Brown"
A1486,"Border Fine Arts 'Red Hind, Follower and Calf', model No. A1486"
A1490,"Border Fine Arts 'the Berry Pickers' (Two Foxes), model No. A1490"
A1628,"Border Fine Arts 'Spaniel and Rabbit' (Liver and White), model No. A1628"
A1863,"Border Fine Arts 'German Shepherd' standing, model No. A1863 by Margaret Turner"
A1865,"Border Fine Arts 'Border Collie Standing', model No. A1865"
A1872,"Border Fine Arts Studio 'Sunny Afternoon', model No. A1872 by Richard Roberts, limited edition */1250"
A1888,"Border Fine Arts 'Herdwick Ewe and Lambs' (style two), model No. A1888 by Lesley McKenzie"
A1899,"Border Fine Arts 'Boxer' (seated, style three), Fireside model No. A1899"
A20100,"Border Fine Arts 'Out To Pasture', model No. A20100"
A2011,Border Fine Arts 'Lady Camilla' model No. A2011
A20120,"Border Fine Arts 'Spring Supplement', model No. A20120 by Ray Ayres"
A2016,"Border Fine Arts 'Arab Stallion' (Standing, with Authentic Saddle), model No. A2016 by Anne Wall, limited edition */950"
A20805,"Border Fine Arts 'Action Horses' vanna, model No. A20805 "
A20848,"Border Fine Arts 'Hereford Bull', model No. A20848"
A20850,"Border Fine Arts 'Harvest Mice', model No. A20850"
A2097,"Border Fine Arts 'Red Breasted Goose', model No. A2097 by Jack Crewdson, limited edition */500"
A2140,"Border Fine Arts James Herriot Studio Collection 'Emergency Rations' (Horse, Farmer and Sheep), model No. A2140 by Ray Ayres"
A2141,"Border Fine Arts Fordson Dexta Tractor 'Ridging Up', model No. A2141 by Ray Ayres"
A2143,"Border Fine Arts 'Getting Ready for Smithfield', model No. A2143 by Ray Ayres"
A22829,Border Fine Arts 'Repairs Required' model No. A22829
A22854,"Border Fine Arts 'Lord Reynard' (Large), model No. A22854"
A22941,"Border Fine Arts 'No Longer Working', model No. A22941 by Ray Ayres"
A22942,"Border Fine Arts 'Venturing Out' model No. A22942, by Ray Ayres "
A22943,"Border Fine Arts 'Can I Join in?', model No. A22943"
A2311,Border Fine Arts 'Highland Bull' model No. A2311
A2326,"Border Fine Arts 'Mallards' Table Lamp, model No. A2326 by John Brown"
A23905,"Border Fine Arts 'Summer Crop', model No. A23905"
A2647,"Border Fine Arts Studio Table Lamp 'Out With the Dogs', model No. A2647 by Craig Harding"
A2648,"Border Fine Arts 'Out With the Dogs', model No. A2648 by Craig Harding, limited edition */1250"
A26878,"Border Fine Arts 'Silage Time' model No. A26878, by Ray Ayres"
A2693,"Border Fine Arts 'Galloway Cow and Calf' (belted), model No. A2693"
A2699,"Border Fine Arts 'Rottweiler' standing, style three, model No. A2699"
A27074,"Border Fine Arts 'Blackfaced Ewes', model No. A27074"
A2741,"Border Fine Arts 'Hippo and Baby', model No. A2741"
A3086,Border Fine Arts 'Any Umbrellas?' model No. A3086 
A3257,"Border Fine Arts 'Exmoor Pony Mare and Foal', model No. A3257"
A3327,"Border Fine Arts Studio Table Lamp 'Jock's Pride', model No. A3327 by Ray Ayres"
A3398,"Border Fine Arts 'Odd One Out', model No. A3398"
A3699,"Border Fine Arts 'Donkey Jenny and Foal', model No. A3699 by Anne Wall"
A3876,"Border Fine Arts 'the Drift' (New Forest Ponies), Studio model No. A3876 by Anne Wall, limited edition */750"
A4054,Border Fine Arts 'Tawny Owl'' model No. A4054 by Russell Willis
A4246,"Border Fine Arts 'Charolais Bull (lying), Model No. A4246"
A4583,"Border Fine Arts 'Hereford Cow', model No. A4583 "
A4621,"Border Fine Arts 'No Peace', model No. A4621"
A4955,Border Fine Arts 'Bedtime Stories' model No. A4955
A5891,"Border Fine Arts 'Seated Fox' (Style Three - Fireside), Studio model No. A5891 by Adrian Hughes "
A6026,"Border Fine Arts 'Right of Way' (Blackie Ewes and Border Collie), Studio model No. A6026"
A6127,"Border Fine Arts 'the Good Samaritan', model No. A6127 by Hans Kendrick"
A6343,"Border Fine Arts 'Clearing Out', model No. A6343"
A6519,"Border Fine Arts 'Clover's New Calf', model No. A6519"
A7389,"Border Fine Arts 'Pair of Kingfishers', model No. A7389, by Ray Ayres"
A8787,"Border Fine Arts 'on the Quayside', model No. A8787"
A8914,"Border Fine Arts 'Close T' gate', model No. A8914"
A8918,"Border Fine Arts 'Lightly Rolled', model No. A8918 by Hans Kendrick"
A8953,"Border Fine Arts 'Belgian Blue Bull', model No. A8953"
A8976,"Border Fine Arts 'Farm Meeting', model No. A8976"
A9279,"Border Fine Arts 'Tally Ho... Sir Rupert', model No. A9279"
A9387,"Border Fine Arts 'Autumn Ploughing', model No. A9387, limited edition */600"
AG01,"Border Fine Arts 'Delivering the Milk' (Donkey Cart), model No. AG01 by Ray Ayres, limited edition */950"
AO728,"Border Fine Arts 'Welsh Cob Mare and Foal', model No. AO728 by Anne Wall"
AO906,"Border Fine Arts 'the Derby', Model No. AO906 "
B0002,"Border Fine Arts 'Tender Moments' (Elephant Family), model No. B0002 by Richard Roberts, limited edition */850"
B0005A,"Border Fine Arts 'Galloway Cow and Calf' (Style One), model No. B0005A by Anne Wall"
B0005B,"Border Fine Arts 'Galloway Belted Cow and Calf' style one, model No. B0005B by Anne Wall"
B0006,"Border Fine Arts 'Feed Time', model No. B0006"
B0010,"Border Fine Arts 'Pet Lambs' (Girl with two lambs), model No. B0010 by Anne Wall"
B0011,"Border Fine Arts 'Last To Finish', model No. B0011 by Kirsty Armstrong "
B0013,"Border Fine Arts 'the Crossing' (Shepherd, Sheep and Collie), model No. B0013 by Ray Ayres, limited edition */1750"
B0021,"Border Fine Arts 'Robin', model No. B0021 by Russell Willis"
B003,"Border Fine Arts 'Mother's care', model No. B003, limited edition */1250"
B0040,"Border Fine Arts 'Delivered Warm' (Horse-drawn Baker's Van), model No. B0040 by Ray Ayres, limited edition */1500"
B0042,"Border Fine Arts 'Suffolk Punch Stallion' (Gold Edition), model No. B0042 by Anne Wall, limited edition */350"
B0042A,"Border Fine Arts 'Suffolk Punch Stallion' Walking (Standard Edition), model No. B0042A by Anne Wall, limited edition */950"
B0042B,"Border Fine Arts 'Suffolk Punch Stallion' (Gold Edition), model No. B0042B by Anne Wall, limited edition */350"
B005B,"Border Fine Arts 'Galloway Belted Cow and Calf', model No. B005B by Anne Wall"
B0086,"Border Fine Arts 'Bath Time', model No. B0086"
B0087,"Border Fine Arts 'the Great Escape', model No. B0087"
B0088,"Border Fine Arts 'A Wild Goose Chase' (Border Collie and Three Geese), model No. B0088 by Ray Ayres"
B0090A,"Border Fine Arts 'Ploughman's Lunch' (Grey Horse), model No. B0090A by Anne Wall, limited edition */1750"
B0092,"Border Fine Arts 'Cool Reception' (Dog and Vixen Fox in Winter), model No. B0092 by David Walton, limited edition */2500"
B0094,"Border Fine Arts 'Turning With Care' (Nuffield Tractor), model No. B0094 by Ray Ayres, limited edition */1750"
B0123,"Border Fine Arts 'Robin & Pocket Watch', model No. B0123"
B0126,"Border Fine Arts 'King Charles Cavalier Spaniel', standing style two, model No. B0126"
B0184,"Border Fine Arts 'Charolais Family Group', model No. B0184 by Kirsty Armstrong, limited edition */1250"
B0189,"Border Fine Arts 'First One in' (Swan and Cygnets), model No. B0189 by Ray Ayres"
B0195,"Border Fine Arts 'River View', model No. B0195 by Richard Roberts, limited edition */3000"
B0197,"Border Fine Arts 'Suffolk Family Group' (Ram with Gimmer and Ewe Lambs), model No. B0197 by Ray Ayres, limited edition */1250"
B0198,"Border Fine Arts 'Holding Her Ground' (Ewe, Lamb and Border Collie), model No. B0198 by Ray Ayres, limited edition */2500"
B0204,"Border Fine Arts 'Aberdeen Angus Cow and Calf' (Style One), model No. B0204 by Kirsty Armstrong, limited edition */1250"
B0206,"Border Fine Arts 'Hedgehog and Wren', model No. B0206"
B0216B,"Border Fine Arts 'Ayreshire Calves', model No. B0216B"
B0217,"Border Fine Arts 'Twice Under' (Sheep Dipping), model No. B0217 by Ray Ayres, limited edition */1750"
B0218,"Border Fine Arts 'in the Shade' Table Lamp (Border Collie Pups), model No. B0218 by Ray Ayres"
B0219,"Border Fine Arts 'Lifting the Pinks', model No. B0219 by Ray Ayres, limited edition */1750"
B0220,"Border Fine Arts Red Stag 'Highland Majesty', model No. B0220 by Richard Roberts"
B0223,"Border Fine Arts 'Rabbit Family', model No. B0223"
B0227,"Border Fine Arts 'Barn Owl on Water Pump', model No. B0227"
B0238,"Border Fine Arts 'A Ewe and A Pair' (Black-faced), model No. B0238 by Ray Ayres, limited edition */1750"
B0240B,"Border Fine Arts 'Welsh Cob Stallion', model No. B0240B by Anne Wall, limited edition */1250"
B0241A,"Border Fine Arts 'Thoroughbred Stallion' (Standing, Style Two), model No. B0241A by Anne Wall, limited edition */1500"
B0253A,"Border Fine Arts 'A Right and Left', model No. B0253A"
B0254,"Border Fine Arts 'Nearly There', model No. B0254"
B0255,"Border Fine Arts Roe Deer Doe and Fawns 'in A Sunny Glade', model No. B0255 by Ray Ayres"
B0273,"Border Fine Arts 'Frontiers of Farming' (Fastrac JCB), model No. B0273 by Kirsty Armstrong, limited edition */1000"
B0274,"Border Fine Arts 'Tea Break' (JCB), model No. B0274 by Ray Ayres, limited edition */950"
B0275,"Border Fine Arts 'in the Shade' (border collie pups), model No. B0275"
B0276,"Border Fine Arts 'on the Look Out', model No. B0276 by David Walton"
B0278,"Border Fine Arts 'Dressage', model No. B0278 by Rob Donaldson, limited edition */850"
B0298,"Border Fine Arts 'Spring Cover', model No. B0298, limited edition */1500"
B0299,"Border Fine Arts 'Won't Start' (Tractor, farmer and collie), model No. B0299 by Ray Ayres"
B0300,"Border Fine Arts 'Lost and Found', model No. B0300"
B0301,"Border Fine Arts 'Moorland Alert' (Pair of Grouse), model No. B0301 by John Brown, limited edition */2500"
B0307,"Border Fine Arts 'Swaledale Ewe and Lamb', model No. B0307 by Ray Ayres, limited edition */1250"
B0308,"Border Fine Arts 'Holstein Bull', model No. B0308 by Kirsty Armstrong, limited edition */1750"
B0331,"Border Fine Arts 'the Stoop' (Peregrine Falcon), model No. B0331 by Ray Ayres"
B0332,"Border Fine Arts 'Family Forage', model No. B0332, by Kirsty Armstrong, limited edition */1250"
B0334A,"Border Fine Arts 'Champion Mare and Foal' (Shire Mare and Foal, Standard Edition), model No. B0334A by Anne Wall, limited edition */950"
B0336,"Border Fine Arts 'Downland Partners', model No. B0336 by Kirsty Armstrong, limited edition */1250"
B0340,"Border Fine Arts 'Summer Shade', model No. B0340, limited edition */1500"
B0341,Border Fine Arts 'Winning Smile' model No. B0341
B0343,"Border Fine Arts 'Frosty Morning' (Fergie TE20), model No. B0343 by Ray Ayres, limited edition */1750"
B0346,"Border Fine Arts 'Wren & Chicks', model No. B0346 by John Brown, limited edition */1250"
B034A,"Border Fine Arts 'Welsh Mountain Pony' (Style Three), model No. B034A by Anne Wall, limited edition */1250"
B034B,"Border Fine Arts 'Welsh Mountain Pony' (style three), model No. B034B by Anne Wall, limited edition */1250"
B0350A,"Border Fine Arts 'Labrador and Pups', style three, model No. B0350A"
B0351,"Border Fine Arts 'German Shepherd and Pups', model No. B0351 "
B0352,"Border Fine Arts 'Pair of Jacob Sheep' (Four-horned), model No. B0352 by Ray Ayres, limited edition */750"
B0354,"Border Fine Arts 'Blackie Tup', model No. B0354 by Ray Ayres, limited edition */1750"
B0360,"Border Fine Arts 'Auld Hemp', model No. B0360"
B0361,"Border Fine Arts 'the Threshing Mill', model No. B0361 by Ray Ayres, Millenium limited edition */600"
B0364,"Border Fine Arts 'Regal Splendour' (Peacock), model No. B0364 by Richard Roberts, Millennium special limited edition */500"
B0367,"Border Fine Arts 'Pair of Jacob Sheep' (Two-Horned), model No. B0367 by Ray Ayres, limited edition */750"
B0368,"Border Fine Arts 'A Brave New World', model No. B0368"
B0402,"Border Fine Arts 'Arriving At Appleby Fair' (Bow Top Wagon and Family), model No. B0402 by Ray Ayres, limited edition */600"
B0403,"Border Fine Arts 'Home From School' boy on Clydesdale horse, model No. B0403 by Ray Ayres, limited edition  */500"
B0404,"Border Fine Arts 'Best At Highland Show' (Clydesdale Mare and Foal), model No. B0404 by Anne Wall, limited edition */950"
B0404A,"Border Fine Arts 'Best At Show' (Clydesdale Mare and Foal), Gold Edition, model No. B0404A by Anne Wall, limited edition */950"
B0404B,"Border Fine Arts 'Best At Show' (Clydesdale Mare and Foal), Gold Edition, model No. B0404B by Anne Wall, limited edition */950"
B0405,"Border Fine Arts 'Hay Cutting Starts Today' (Gold Edition), Commissioned by the Posthorn, Castle Douglas, model No. B0405 by Ray Ayres, limited edition */350 (out of an addition of 950)"
B0405A,"Border Fine Arts 'Hay Cutting Starts Today' (Standard Edition), model No. B0405A by Ray Ayres, limited edition */950"
B0406,"Border Fine Arts 'Belgian Blue Bull' (Style One), model No. B0406 by Ray Ayres, limited edition */1250"
B0418,"Border Fine Arts 'the Sloe Fairy' (Autumn) (Style One), model No. B0418 by Glenis Devereux, limited edition */1950"
B0442B,"Border Fine Arts 'Never Satisfied' (wessex saddleback), model No. B0442B "
B0444,"Border Fine Arts 'the Chase', (Austin Seven Ruby and Collies), model No. B0444 by Ray Ayres"
B0449A,"Border Fine Arts 'Border Collie', model No.B0449A by Margaret Turner"
B0449B,"Border Fine Arts 'Border Collie' (Style three), model No. B0449B by Margaret Turner"
B0488,"Border Fine Arts 'Autumn Glory' (Pheasant), Millennium model No. B0488 by Russell Willis, limited edition */950"
B0489A,"Border Fine Arts 'Surrogate Mother', model No. B0489A "
B0500,"Border Fine Arts 'No Way Through' (Butcher's Delivery Boy), model No. B0500 by Ray Ayres, limited edition */1500"
B0504,"Border Fine Arts 'Jock's pride' (sheepdog and pups), model No. B0504"
B0515,"Border Fine Arts Woman Milking 'Tete-a-tete', model No. B0515 by Kirsty Armstrong"
B0516,"Border Fine Arts Table Lamp 'A Moment To Reflect', model No. B0516 by Ray Ayres"
B0517,"Border Fine Arts 'At the Vintage' (Fordson E27N Tractor), model No. B0517 by Ray Ayres, limited edition */2000"
B0518,"Border Fine Arts 'Pick of the Crop', model No. B0518, 'Urban Squirrels', limited edition */1500"
B0520,"Border Fine Arts 'Gone Fishing', model No. B0520"
B0529,"Border Fine Arts 'Master of the Skies' (Golden Eagle), model No. B0529 by Richard Roberts, limited edition */750"
B0530,"Border Fine Arts 'Texel Ram' (Style Two), model No. B0530 by Jack Crewdson, limited edition */1500"
B0530A,"Border Fine Arts 'Labrador and Pups', model No. B0530A by Margaret Turner, limited edition */950"
B0531,"Border Fine Arts 'Limousin Bull', Style Two, model No. B0531 by Jack Crewdson, limited edition */750"
B0533A,"Border Fine Arts 'English Springer Spaniel and Pups', model No. B0533A by Margaret Turner, limited edition */950"
B0534A,"Border Fine Arts 'Welsh Mountain Pony', model No. B0534A limited edition */1250"
B0534B,"Border Fine Arts 'Welsh Mountain Pony' (Style Three), model No. B0534B, limited edition */1250"
B0535,"Border Fine Arts 'Laying the Clays' (Farmer Laying Land Drains, Ayreshire Cows), model No. B0535 by Ray Ayres, limited edition */1750"
B0536,"Border Fine Arts Border Fine Arts ""Millenium Christmas Fairy"", model No. B0536, limited edition */400"
B0541,"Border Fine Arts 'Kick Start' (David Brown Cropmaster Tractor, Farmer and Collie), model No. B0541 by Ray Ayres"
B0580,"Border Fine Arts 'A Pair for the Royal' (shepherd, sheep and two lambs), model No. B0580 "
B0584,"Border Fine Arts 'Anxious Moment' (Penning Sheep), model No. B0584 by Ray Ayres, limited edition */1750"
B0587,"Border Fine Arts 'Charolais Bull' style two, model No. B0587 by Jack Crewdson, limited edition */950"
B0590,"Border Fine Arts 'Belgian Blue Cow and Calf', model No. B0590, limited edition */1250"
B0597A,"Border Fine Arts 'Shetland Sheep Family Group', model No. B0597A by Ray Ayres, limited edition */1250"
B0597B,"Border Fine Arts 'Shetland Sheep Family Group', model No. B0597B, limited edition */1250"
B0597C,"Border Fine Arts 'Shetland Family Group' (Katmoget), model No. B0597C by Ray Ayres, limited edition */1250"
B0632,"Border Fine Art 'River Sentinal', model No. B0632 by Ray Ayres, Millennium limited edition */1250"
B0649,"Border Fine Arts Allis Chalmers Tractor 'Cut and Crated', model No. B0649 by Ray Ayres, limited edition */2001"
B0650,"Border Fine Arts 'Flat Refusal' (Friesian Cows), model No. B0650 by Kirsty Armstrong, limited edition */1500"
B0651,"Border Fine Arts 'Prince of the Loch' (Osprey), model No. B0651 by Richard Roberts, limited edition */750"
B0652,"Border Fine Arts 'Essential Repairs' (Workman with JCB Back Hoe), model No. B0652 by Ray Ayres, limited edition */1750"
B0654,"Border Fine Arts 'Boxer and Pups', model No. B0654, limited. edition */950"
B0655,"Border Fine Arts 'On the Rails', model No. B0655 by Anne Wall, limited edition */950"
B0657,"Border Fine Arts 'Limousin Cow and Calf' (Style Two), model No. B0657 by Jack Crewdson, limited edition */750"
B0658,"Border Fine Arts 'Texel Ewe and Lambs' (Style Two), model No. B0658 by Jack Crewdson, limited edition */1500"
B0661,"Border Fine Arts 'Harvest Home', model No. B0661"
B0663,"Border Fine Arts 'Betsy' (Steam Engine), model No. B0663 by Ray Ayres, limited edition */1750"
B0664,"Border Fine Arts 'Striking A Deal At Appleby Fair', model No. B0664 by Ray Ayres, limited edition */600"
B0666A,"Border Fine Arts 'Under the Hammer' (Limousin Cross), model No. B0666A by Kirsty Armstrong, limited edition */1750"
B0666B,"Border Fine Arts 'Under the Hammer' (Charolais Cross), model No. B0666B by Kirsty Armstrong, limited edition */1750"
B0666D,"Border Fine Arts 'Under the Hammer', (Simmental Cross), model No. B0666D by Kirsty Armstrong, limited edition */1750"
B0697A,"Border Fine Arts 'Loose Raking' (Standard Edition), model No. B0697A by Ray Ayres, limited edition */950"
B0698,"Border Fine Arts 'Hay Bogie' (Gold Edition), Commissioned by the Posthorn, Castle Douglas, model No. B0698 by Ray Ayres, limited edition */350 (out of an addition of 950)"
B0698A,"Border Fine Arts 'Hay Bogie', model No. B0698A by Ray Ayres, limited edition */950"
B0699B,"Border Fine Arts 'Pair of English Springer Spaniels', model No. B0699B (black and white) by Margaret Turner"
B070,"Border Fine Arts 'Starts First Time' (fowler diesel crawler mark vf), model No. B070 by Ray Ayres"
B0700,"Border Fine Arts 'Logging', model No. B0700 by Ray Ayres, limited edition */1750"
B0701,"Border Fine Arts 'Stand Off' (Border Collie and Sheep), model No. B0701 by Ray Ayres, limited edition */1750"
B0702,"Border Fine Arts 'Starts First Time' (Fowler Diesel Crawler Mark VF), model No. B0702 by Ray Ayres"
B0705,"Border Fine Arts 'Herdwick Tup', model No. B0705 by Ray Ayres, limited edition */750"
B0729,"Border Fine Arts 'Teamwork' (Carriage Racing), model No. B0729 by Ray Ayres, limited edition */500"
B0730A,"Border Fine Arts 'Labrador Family' yellow, model No. B0730A, limited. edition */950"
B0730B,"Border Fine Arts 'Labrador Family' black, model No. B0730B, limited. edition */950"
B0733,"Border Fine Arts 'Foxhound' standing, style two, model No. B0733 by Margaret Turner, Ltd. edition No. */950"
